Ticker,Name
^NQUSL2795GBP,NQ US Lg Cap Financial Admin GB
^NQUSS2700AUDN,NQ US Sm Cap Ind Goods & Svcs A
DF28.DE,INAVISHFIGOVBDUCHF
^B50ADRT,Dow Jones BRIC 50 All DR Total
SDA15D.SW,SBI Dom AAA-A 1-5 D
4N9U.DE,DAXSUB ALL RETI P
^NQKRSCAUDT,NASDAQ Korea Small Cap AUD TR I
^NQUSS5751AUDN,NQ US Sm Cap Airlines AUD NTR I
D1A8.DE,DAXPLUS PROTECTIVE PUT PR
^NQDMEU9000AUDT,NASDAQ DM Europe Tech AUD TR In
^FIRSTNORTHNOK,First North All-Share NOK
539M.DE,
^NQZASCGBP,NASDAQ South Africa Small Cap G
^NQLA4000CAD,NASDAQ Lat America Health Care
^NQPHAUD,NASDAQ Philippines AUD Index
31651230.SG,
^NQNAEUR,NASDAQ N America EUR Index
^NQGBAUDT,NASDAQ UK AUD TR Index
^RAESGDN,Russell Australia ESG High Divi
3BLU.DE,IN.IS.FTSE 250 EO
^NQNA3500AUDT,NASDAQ N America Food & Beverag
^NQEMASIA8000EUR,NASDAQ EM Asia Financials EUR I
4QCE.DE,INAVISHEMMARSCEU
^NQASPA3300EUR,NASDAQ ASPA Auto & Parts EUR In
^NQUSB2713GBPT,NQ US Bnchmk Aerospace GBP TR I
SXP2V.Z,
4NAR.DE,SHORTDAX X4 ST I EU
WIPACXJA3720.FGI,
5EDS.DE,INAVISMSCIEUUAGBP
^NQDMASPA6000T,The NASDAQ DM ASPA Telecommunic
LZS5.DE,INAV DBX MSCI JAPAN USD
SFG5D.SW,SBI FOR GOV AAA-A 5+ D
X2D6.DE,INAV CSFCHA50 GBP
^UKDATR,Mergent UK Dividend Achievers I
^NQNA3000LMJPYN,NASDAQ N America Cnsmr Goods Lg
^NQUSS5555AUDN,NQ US Sm Cap Media Agncs AUD NT
X22M.DE,INAV ISH GHYCBCHGB
^NQEMMEA4000AUD,NASDAQ EM MEA Health Care AUD I
^NQASPA2700LM,NASDAQ ASPA Ind Goods & Svcs Lg
^NQCO8000AUDN,NASDAQ Colombia Financials AUD
^NQNA1700JPYN,NASDAQ N America Basic Resource
^NQUSS2713EUR,NQ US Sm Cap Aerospace EUR Inde
^NQNA1700LMCADT,NASDAQ N America Basic Resource
^NQDMASIA5700LMT,NASDAQ DM Asia Travel & Leisure
^NQAU6000AUD,NASDAQ Australia Telecom AUD In
^NQKRLCAUDT,NASDAQ Korea Large Cap AUD TR I
^NQUSS0001AUD,NQ US Sm Cap Oil & Gas AUD Inde
^DAAXJPHKDN,NASDAQ Asia ex Japan Dividend A
^NQASPAMCEURT,NASDAQ ASPA Mid Cap EUR TR Inde
^NQEMASIA8500N,The NASDAQ EM Asia Insurance In
^NQDMASPA8600LMN,NASDAQ DM ASPA Real Estate Larg
537X.DE,
3BVU.DE,DAXGL.EMER.11 SH.TR.EUR
^NQEURO3000AUD,NASDAQ Eurozone Cnsmr Goods AUD
^NQEMEAMCAUDN,NASDAQ EMEA Mid Cap AUD NTR Ind
^NQXAUAGR,Nasdaq Gbl Ex-Australia Agricul
TASEBOND.TA,
^NQNA0001GBPT,NASDAQ N America Oil & Gas GBP
^NQDMXNA,The NASDAQ DM Ex North America
^NQEMASIA4000LMAU,NASDAQ EM Asia Health Care Lg M
^NQNA8300LMCADT,NASDAQ N America Banks Large Mi
5DBK.DE,INAV DEKA MSCI JAPAN EUR
^NQATEUR,NASDAQ Austria EUR Index
^NQDM5300AUD,NASDAQ Developed Retail AUD Ind
XEFA.DE,DAXGLOBAL E11 EUR K
^CAPEXAN,Nasdaq US CapEx Achievers Net T
AEXEN.NX,
^NQNA2700T,The NASDAQ North America Indust
^NQDMASPAXJPLCT,Nasdaq DM ASPA Ex Japan Large C
OATF.EX,
^NQUSM2710EUR,NQ US Md Cap Aerospace & Defens
^NQBRIC0001AUD,NASDAQ BRIC Oil & Gas AUD Index
ENAXAP.L,
^NQASPA6000LMCADN,NASDAQ ASPA Telecom Large Mid C
^NQUSS5371GBPN,NQ US Sm Cap Apparel Rtlrs GBP
^SPLSALP,S&P Merger Arbitrage Index LCL
SBD12P.SW,SBI Dom AAA-AA P
^NQDMASIA7000JPYN,NASDAQ DM Asia Utilities JPY NT
^NQUSB2713AUDN,NQ US Bnchmk Aerospace AUD NTR
SFF13D.SW,SBI For AAA-AA 1-3 D
3BSA.DE,DAXGL CH TECH USD P
^NQEMASIA2300EURT,NASDAQ EM Asia Constr & Matls E
^NQUSS3355JPY,NQ US Sm Cap Auto Parts JPY Ind
^NQASPA1000LMEUR,NASDAQ ASPA Basic Matls Lg Md C
7DXQ.DE,HSBC MSCI JAPAN INAV GBP
^NQEURO3300CADN,NASDAQ Eurozone Auto & Parts CA
^NQASPA8700EUR,NASDAQ ASPA Financial Svcs EUR
^NQNA4000LMCADT,NASDAQ N America Health Care Lg
^NQDMASIA0001LMEU,NASDAQ DM Asia Oil & Gas Lg Md
^NQDMASIA8300,The NASDAQ DM Asia Banks Indexe
^NQASPA2000LMAUDT,NASDAQ ASPA Inds Large Mid Cap
^BKTADR,BNY Mellon International 100 AD
^RUAXJDY,Russell Asia ex-Japan Dynamic
X2CV.DE,INAVISHULTRAUCITUSD
^NQEULMAUDT,NASDAQ Europe Large Mid Cap AUD
^NQHK4000AUDT,NASDAQ Hong Kong Health Care AU
274U.DE,INAVISMSCIEUEXUKEUR
^NQUSB2737AUDT,NQ US Bnchmk Elec Eqpt AUD TR I
7DTN.DE,INAV S&P 500 EUR
^NQZA5000LMCADN,NASDAQ South Africa Cnsmr Svcs
^NQLA2000JPYT,NASDAQ Lat America Inds JPY TR
^NYUSMUTT,NYSE U.S. Market Utilities and
^NQG3300,The NASDAQ Global Automobiles &
